supplier_code	Price1_USD	Price5_USD	Price2_USD	Price4_USD	Price3_USD	Smiles	MDLN	Chemical_Name	CAS_RN	Link	Purity	Quantity4	Quantity5	Quantity1	Quantity2	Quantity3
SPC-t228	133	 	395	1286	655	COC(c(nc1)cc(OC)c1Br)=O	MFCD18257513	methyl 5-bromo-4-methoxypyridine-2-carboxylate	1256789-95-3	http://spirochem.com/methyl-5-bromo-4-methoxypyridine-2-carboxylate.html	95	25G		1G	5G	10G
SPC-t230	64	957	190	565	320	CC(C)N(C[C@H](C1)C(OC)=O)C1=O	MFCD11053005	methyl 5-oxo-1-(propan-2-yl)pyrrolidine-3-carboxylate	59857-84-0	http://spirochem.com/methyl-5-oxo-1-propan-2-yl-pyrrolidine-3-carboxylate.html	95	25G	50G	1G	5G	10G
SPC-t231	140	2078	277	693	462	COC(C(CC1CC2)C2CC1=O)=O		methyl 5-oxobicyclo[2.2.2]octane-2-carboxylate	78478-61-2	http://spirochem.com/methyl-5-oxobicyclo-2-2-2-octane-2-carboxylate.html	95	1G	5G	0.1G	0.25G	0.5G
SPC-t232	53	479	93	273	161	COC([C@H](CC1)NC1=O)=O	MFCD03844651	methyl 5-oxopyrrolidine-2-carboxylate	54571-66-3	http://spirochem.com/methyl-5-oxopyrrolidine-2-carboxylate.html	95	50G	100G	5G	10G	25G
SPC-t233	514	 	1511	 	 	Cc(cc1)cc2c1c(C(OC)=O)c[nH]2	MFCD06204260	methyl 6-methyl-1H-indole-3-carboxylate	163083-65-6	http://spirochem.com/methyl-6-methyl-1h-indole-3-carboxylate.html	95			1G	5G	
SPC-t237	114	1677	228	570	380	CC(C)(C)OC(N[C@@H](COC1)[C@@H]1C(OC)=O)=O		methyl cis-4-{[(tert-butoxy)carbonyl]amino}oxolane-3-carboxylate	1310708-60-1	http://spirochem.com/methyl-cis-4-tert-butoxy-carbonyl-amino-oxolane-3-carboxylate.html	95	1G	5G	0.1G	0.25G	0.5G
SPC-t241	75	 	218	683	377	CC(C)(C)OC(N[C@H](CC1)CC[C@@H]1C(OC)=O)=O	MFCD17015041	methyl trans-4-(boc-amino)cyclohexanecarboxylate	146307-51-9	http://spirochem.com/methyl-trans-4-boc-amino-cyclohexanecarboxylate.html	95	25G		1G	5G	10G
SPC-t246	456	 	1342	 	2236	CC(C)(C)OC(N(C)C(C1)CC11CNC1)=O.OC(C(O)=O)=O		oxalic acid; tert-butyl N-{2-azaspiro[3.3]heptan-6-yl}-N-methylcarbamate	2173991-65-4	http://spirochem.com/oxalic-acid-tert-butyl-n-2-azaspiro-3-3-heptan-6-yl-n-methylcarbamate.html	95			1G	5G	10G
SPC-t247	42	 	64	184	104	OC([C@H]1NCCNC1)=O	MFCD00132878	piperazine-2-carboxylic acid	2762-32-5	http://spirochem.com/piperazine-2-carboxylic-acid.html	95	250G		25G	50G	100G
SPC-t250	150	2181	298	741	495	CC(C)(C)OC(N1C[C@@H]([B-](F)(F)F)CC1)=O.[K+]	MFCD18712081	potassium {1-[(tert-butoxy)carbonyl]pyrrolidin-3-yl}trifluoroboranuide	1430219-72-9	http://spirochem.com/potassium-1-tert-butoxy-carbonyl-pyrrolidin-3-yl-trifluoroboranuide.html	95	1G	5G	0.1G	0.25G	0.5G
