supplier_code	Price1_USD	Price5_USD	Price2_USD	Price4_USD	Price3_USD	Smiles	MDLN	Chemical_Name	CAS_RN	Link	Purity	Quantity4	Quantity5	Quantity1	Quantity2	Quantity3
SPC-f019	500	 	969	 	2550	CC(C)(C)OC(=O)NCC1(N[C@@H](Cc2ccccc2)C(=O)O)COC1		(3-(((tert-butoxycarbonyl)amino)methyl)oxetan-3-yl)-L-phenylalanine	2095220-21-4	http://spirochem.com/3-tert-butoxycarbonyl-amino-methyl-oxetan-3-yl-l-phenylalanine.html	95			0.1G	0.25G	1G
SPC-f020	500	 	969	 	2550	CC(C)(C)Oc1ccc(C[C@H](NC2(CNC(=O)OCc3ccccc3)COC2)C(=O)O)cc1		(S)-2-((3-((((benzyloxy)carbonyl)amino)methyl)oxetan-3-yl)amino)-3-(4-(tert-butoxy)phenyl)propanoic acid	1620924-00-6	http://spirochem.com/s-2-3-benzyloxy-carbonyl-amino-methyl-oxetan-3-yl-amino-3-4-tert-butoxy-phenyl-propanoic-acid.html	95			0.1G	0.25G	1G
SPC-f021	500	 	969	 	2550	CC(C)(C)OC[C@H](NC1(CNC(=O)OCc2ccccc2)COC1)C(=O)O		N-(3-((((benzyloxy)carbonyl)amino)methyl)oxetan-3-yl)-O-(tert-butyl)-L-serine	1620923-99-0	http://spirochem.com/n-3-benzyloxy-carbonyl-amino-methyl-oxetan-3-yl-o-tert-butyl-l-serine.html	95			0.1G	0.25G	1G
SPC-f022	500	 	969	 	2550	CC(C)(C)OC(=O)C[C@H](NC1(CNC(=O)OCc2ccccc2)COC1)C(=O)O		(S)-2-((3-((((benzyloxy)carbonyl)amino)methyl)oxetan-3-yl)amino)-4-(tert-butoxy)-4-oxobutanoic acid	2209840-31-1	http://spirochem.com/s-2-3-benzyloxy-carbonyl-amino-methyl-oxetan-3-yl-amino-4-tert-butoxy-4-oxobutanoic-acid.html	95			0.1G	0.25G	1G
SPC-f023	500	 	969	 	2550	O=C(C[C@H](NC1(CNC(=O)OCc2ccccc2)COC1)C(=O)O)NC(c1ccccc1)(c1ccccc1)c1ccccc1		N2-(3-((((benzyloxy)carbonyl)amino)methyl)oxetan-3-yl)-N4-trityl-L-asparagine	2209843-16-1	http://spirochem.com/n2-3-benzyloxy-carbonyl-amino-methyl-oxetan-3-yl-n4-trityl-l-asparagine.html	95			0.1G	0.25G	1G
SPC-f024	500	 	969	 	2550	CC(C)(C)OC(=O)NCCCC[C@H](NC1(CNC(=O)OCc2ccccc2)COC1)C(=O)O		N2-(3-((((benzyloxy)carbonyl)amino)methyl)oxetan-3-yl)-N6-(tert-butoxycarbonyl)-L-lysine	2209843-13-8	http://spirochem.com/n2-3-benzyloxy-carbonyl-amino-methyl-oxetan-3-yl-n6-tert-butoxycarbonyl-l-lysine.html	95			0.1G	0.25G	1G
SPC-f025	500	 	969	 	2550	CSCC[C@H](NC1(CNC(=O)OC(C)(C)C)COC1)C(=O)O		(3-(((tert-butoxycarbonyl)amino)methyl)oxetan-3-yl)-L-methionine	2209833-38-3	http://spirochem.com/3-tert-butoxycarbonyl-amino-methyl-oxetan-3-yl-l-methionine.html	95			0.1G	0.25G	1G
SPC-f028	500	 	969	 	2550	CC(C)(C)OC(=O)NCC1(N2CCC[C@H]2C(=O)O)COC1		(3-(((tert-butoxycarbonyl)amino)methyl)oxetan-3-yl)-L-proline	2209833-29-2	http://spirochem.com/3-tert-butoxycarbonyl-amino-methyl-oxetan-3-yl-l-proline.html	95			0.1G	0.25G	1G
SPC-f029	500	 	969	 	2550	CCCOC(=O)CNC1(CNC(=O)OC(C)(C)C)COC1		propyl (3-(((tert-butoxycarbonyl)amino)methyl)oxetan-3-yl)glycinate	1620923-79-6	http://spirochem.com/propyl-3-tert-butoxycarbonyl-amino-methyl-oxetan-3-yl-glycinate.html	95			0.1G	0.25G	1G
SPC-f030	500	 	969	 	2550	CCCOC(=O)[C@H](C)NC1(CNC(=O)OC(C)(C)C)COC1		propyl (3-(((tert-butoxycarbonyl)amino)methyl)oxetan-3-yl)-L-alaninate	1620923-80-9	http://spirochem.com/propyl-3-tert-butoxycarbonyl-amino-methyl-oxetan-3-yl-l-alaninate.html	95			0.1G	0.25G	1G
SPC-f031	500	 	969	 	2550	CCCOC(=O)[C@@H](NC1(CNC(=O)OC(C)(C)C)COC1)C(C)C		propyl (3-(((tert-butoxycarbonyl)amino)methyl)oxetan-3-yl)-L-valinate	1620923-81-0	http://spirochem.com/propyl-3-tert-butoxycarbonyl-amino-methyl-oxetan-3-yl-l-valinate.html	95			0.1G	0.25G	1G
SPC-f032	500	 	969	 	2550	CCCOC(=O)[C@H](CC(C)C)NC1(CNC(=O)OC(C)(C)C)COC1		propyl (3-(((tert-butoxycarbonyl)amino)methyl)oxetan-3-yl)-L-leucinate	1620923-82-1	http://spirochem.com/propyl-3-tert-butoxycarbonyl-amino-methyl-oxetan-3-yl-l-leucinate.html	95			0.1G	0.25G	1G
SPC-f033	500	 	969	 	2550	CCCOC(=O)[C@H](Cc1ccccc1)NC1(CNC(=O)OC(C)(C)C)COC1		propyl (3-(((tert-butoxycarbonyl)amino)methyl)oxetan-3-yl)-L-phenylalaninate	1620923-83-2	http://spirochem.com/propyl-3-tert-butoxycarbonyl-amino-methyl-oxetan-3-yl-l-phenylalaninate.html	95			0.1G	0.25G	1G
SPC-f034	500	 	969	 	2550	CCCOC(=O)[C@H](Cc1ccc(OC(C)(C)C)cc1)NC1(CNC(=O)OCc2ccccc2)COC1		propyl (S)-2-((3-((((benzyloxy)carbonyl)amino)methyl)oxetan-3-yl)amino)-3-(4-(tert-butoxy)phenyl)propanoate	1620923-84-3	http://spirochem.com/propyl-s-2-3-benzyloxy-carbonyl-amino-methyl-oxetan-3-yl-amino-3-4-tert-butoxy-phenyl-propanoate.html	95			0.1G	0.25G	1G
SPC-f035	500	 	969	 	2550	CCCOC(=O)[C@H](COC(C)(C)C)NC1(CNC(=O)OCc2ccccc2)COC1		propyl N-(3-((((benzyloxy)carbonyl)amino)methyl)oxetan-3-yl)-O-(tert-butyl)-L-serinate	1620923-85-4	http://spirochem.com/propyl-n-3-benzyloxy-carbonyl-amino-methyl-oxetan-3-yl-o-tert-butyl-l-serinate.html	95			0.1G	0.25G	1G
SPC-f036	500	 	969	 	2550	CCCOC(=O)[C@H](CC(=O)OC(C)(C)C)NC1(CNC(=O)OCc2ccccc2)COC1		4-(tert-butyl) 1-propyl (3-((((benzyloxy)carbonyl)amino)methyl)oxetan-3-yl)-L-aspartate	2209843-08-1	http://spirochem.com/4-tert-butyl-1-propyl-3-benzyloxy-carbonyl-amino-methyl-oxetan-3-yl-l-aspartate.html	95			0.1G	0.25G	1G
SPC-f037	500	 	969	 	2550	CCCOC(=O)[C@H](CC(=O)NC(c1ccccc1)(c1ccccc1)c1ccccc1)NC1(CNC(=O)OCc2ccccc2)COC1		propyl N2-(3-((((benzyloxy)carbonyl)amino)methyl)oxetan-3-yl)-N4-trityl-L-asparaginate	1620923-87-6	http://spirochem.com/propyl-n2-3-benzyloxy-carbonyl-amino-methyl-oxetan-3-yl-n4-trityl-l-asparaginate.html	95			0.1G	0.25G	1G
SPC-f038	500	 	969	 	2550	CCCOC(=O)[C@H](CCCCNC(=O)OC(C)(C)C)NC1(CNC(=O)OCc2ccccc2)COC1		propyl N2-(3-((((benzyloxy)carbonyl)amino)methyl)oxetan-3-yl)-N6-(tert-butoxycarbonyl)-L-lysinate	1620923-88-7	http://spirochem.com/propyl-n2-3-benzyloxy-carbonyl-amino-methyl-oxetan-3-yl-n6-tert-butoxycarbonyl-l-lysinate.html	95			0.1G	0.25G	1G
SPC-f039	500	 	969	 	2550	CCCOC(=O)[C@H](CCSC)NC1(CNC(=O)OC(C)(C)C)COC1		propyl (3-(((tert-butoxycarbonyl)amino)methyl)oxetan-3-yl)-L-methioninate	1620923-89-8	http://spirochem.com/propyl-3-tert-butoxycarbonyl-amino-methyl-oxetan-3-yl-l-methioninate.html	95			0.1G	0.25G	1G
SPC-f041	500	 	969	 	2550	CCCOC(=O)[C@H](Cc1cn(C(=O)OC(C)(C)C)c2ccccc12)NC1(CNC(=O)OCc2ccccc2)COC1		tert-butyl (S)-3-(2-((3-((((benzyloxy)carbonyl)amino)methyl)oxetan-3-yl)amino)-3-oxo-3-propoxypropyl)-1H-indole-1-carboxylate	1620923-91-2	http://spirochem.com/tert-butyl-s-3-2-3-benzyloxy-carbonyl-amino-methyl-oxetan-3-yl-amino-3-oxo-3-propoxypropyl-1h-indole-1-carboxylate.html	95			0.1G	0.25G	1G
SPC-f042	500	 	969	 	2550	CCCOC(=O)[C@@H]1CCCN1C1(CNC(=O)OC(C)(C)C)COC1		propyl (3-(((tert-butoxycarbonyl)amino)methyl)oxetan-3-yl)-L-prolinate	1620923-92-3	http://spirochem.com/propyl-3-tert-butoxycarbonyl-amino-methyl-oxetan-3-yl-l-prolinate.html	95			0.1G	0.25G	1G
SPC-f043	500	 	969	 	2550	CC(NC(=O)OCC1c2ccccc2-c2ccccc21)C1(NCC(=O)O)COC1		(3-(1-((((9H-fluoren-9-yl)methoxy)carbonyl)amino)ethyl)oxetan-3-yl)glycine	2200627-31-0	http://spirochem.com/3-1-9h-fluoren-9-yl-methoxy-carbonyl-amino-ethyl-oxetan-3-yl-glycine.html	95			0.1G	0.25G	1G
SPC-f044	500	 	969	 	2550	CC(NC(=O)OC(C)(C)C)C1(NCC(=O)O)COC1		(3-(1-((tert-butoxycarbonyl)amino)ethyl)oxetan-3-yl)glycine	2200580-71-6	http://spirochem.com/3-1-tert-butoxycarbonyl-amino-ethyl-oxetan-3-yl-glycine.html	95			0.1G	0.25G	1G
SPC-f045	500	 	969	 	2550	CCCOC(=O)CNC1(C(C)NC(=O)OC(C)(C)C)COC1		propyl (3-(1-((tert-butoxycarbonyl)amino)ethyl)oxetan-3-yl)glycinate	2200580-78-3	http://spirochem.com/propyl-3-1-tert-butoxycarbonyl-amino-ethyl-oxetan-3-yl-glycinate.html	95			0.1G	0.25G	1G
SPC-f046	500	 	969	 	2550	CC(C)CC(NC(=O)OC(C)(C)C)C1(NCC(=O)O)COC1		(3-(1-((tert-butoxycarbonyl)amino)-3-methylbutyl)oxetan-3-yl)glycine	2199282-78-3	http://spirochem.com/3-1-tert-butoxycarbonyl-amino-3-methylbutyl-oxetan-3-yl-glycine.html	95			0.1G	0.25G	1G
SPC-f047	969	 	2550	 	 	CCCOC(=O)CNC1(C(CC(C)C)NC(=O)OC(C)(C)C)COC1		propyl (3-(1-((tert-butoxycarbonyl)amino)-3-methylbutyl)oxetan-3-yl)glycinate	1620924-11-9	http://spirochem.com/propyl-3-1-tert-butoxycarbonyl-amino-3-methylbutyl-oxetan-3-yl-glycinate.html	95			0.25G	1G	
SPC-f048	500	 	969	 	2550	CC(C)(C)OC(=O)CCC(NC(=O)OC(C)(C)C)C1(NCC(=O)O)COC1		(3-(4-(tert-butoxy)-1-((tert-butoxycarbonyl)amino)-4-oxobutyl)oxetan-3-yl)glycine	2202261-59-2	http://spirochem.com/3-4-tert-butoxy-1-tert-butoxycarbonyl-amino-4-oxobutyl-oxetan-3-yl-glycine.html	95			0.1G	0.25G	1G
SPC-f049	500	 	969	 	2550	CCCOC(=O)CNC1(C(CCC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C)COC1		tert-butyl 4-((tert-butoxycarbonyl)amino)-4-(3-((2-oxo-2-propoxyethyl)amino)oxetan-3-yl)butanoate	2201584-13-4	http://spirochem.com/tert-butyl-4-tert-butoxycarbonyl-amino-4-3-2-oxo-2-propoxyethyl-amino-oxetan-3-yl-butanoate.html	95			0.1G	0.25G	1G
SPC-f050	500	 	969	 	2550	Cc1ccc(S(=O)(=O)n2cc(CC(NC(=O)OC(C)(C)C)C3(NCC(=O)O)COC3)c3ccccc32)cc1		(3-(1-((tert-butoxycarbonyl)amino)-2-(1-tosyl-1H-indol-3-yl)ethyl)oxetan-3-yl)glycine	2199281-10-0	http://spirochem.com/3-1-tert-butoxycarbonyl-amino-2-1-tosyl-1h-indol-3-yl-ethyl-oxetan-3-yl-glycine.html	95			0.1G	0.25G	1G
SPC-f051	969	 	2550	 	 	CCCOC(=O)CNC1(C(Cc2cn(S(=O)(=O)c3ccc(C)cc3)c3ccccc23)NC(=O)OC(C)(C)C)COC1		propyl (3-(1-((tert-butoxycarbonyl)amino)-2-(1-tosyl-1H-indol-3-yl)ethyl)oxetan-3-yl)glycinate	1620924-15-3	http://spirochem.com/propyl-3-1-tert-butoxycarbonyl-amino-2-1-tosyl-1h-indol-3-yl-ethyl-oxetan-3-yl-glycinate.html	95			0.25G	1G	
SPC-f052	500	 	969	 	2550	CC(C)(C)OC(=O)NC(Cc1ccc(OC(C)(C)C)cc1)C1(NCC(=O)O)COC1		(3-(2-(4-(tert-butoxy)phenyl)-1-((tert-butoxycarbonyl)amino)ethyl)oxetan-3-yl)glycine	2198380-66-2	http://spirochem.com/3-2-4-tert-butoxy-phenyl-1-tert-butoxycarbonyl-amino-ethyl-oxetan-3-yl-glycine.html	95			0.1G	0.25G	1G
SPC-f053	500	 	969	 	2550	CCCOC(=O)CNC1(C(Cc2ccc(OC(C)(C)C)cc2)NC(=O)OC(C)(C)C)COC1		propyl (3-(2-(4-(tert-butoxy)phenyl)-1-((tert-butoxycarbonyl)amino)ethyl)oxetan-3-yl)glycinate	2198942-45-7	http://spirochem.com/propyl-3-2-4-tert-butoxy-phenyl-1-tert-butoxycarbonyl-amino-ethyl-oxetan-3-yl-glycinate.html	95			0.1G	0.25G	1G
SPC-f054	969	 	2550	 	 	c1ccc(C2CSCCN2)cc1		3-phenylthiomorpholine	141849-62-9	http://spirochem.com/3-phenylthiomorpholine.html	95			0.25G	1G	
SPC-f055	969	 	2550	 	 	c1ccc2cc(C3CSCCN3)ccc2c1		3-(naphthalen-2-yl)thiomorpholine	1344035-47-7	http://spirochem.com/3-naphthalen-2-yl-thiomorpholine.html	95			0.25G	1G	
SPC-f056	969	 	2550	 	 	Fc1ccc(C2CSCCN2)cc1		3-(4-fluorophenyl)thiomorpholine	887344-28-7	http://spirochem.com/3-4-fluorophenyl-thiomorpholine.html	95			0.25G	1G	
SPC-f057	969	 	2550	 	 	Brc1cccc(C2CSCCN2)c1		3-(3-bromophenyl)thiomorpholine	1343304-42-6	http://spirochem.com/3-3-bromophenyl-thiomorpholine.html	95			0.25G	1G	
SPC-f058	969	 	2550	 	 	Cc1ccc(C2CSCCN2)cc1		3-(p-tolyl)thiomorpholine	1082893-17-1	http://spirochem.com/3-p-tolyl-thiomorpholine.html	95			0.25G	1G	
SPC-f059	969	 	2550	 	 	COc1ccc(C2CSCCN2)cc1		3-(4-methoxyphenyl)thiomorpholine	887344-27-6	http://spirochem.com/3-4-methoxyphenyl-thiomorpholine.html	95			0.25G	1G	
SPC-f060	969	 	2550	 	 	FC(F)(F)c1ccc(C2CSCCN2)cc1		3-(4-(trifluoromethyl)phenyl)thiomorpholine	887344-29-8	http://spirochem.com/3-4-trifluoromethyl-phenyl-thiomorpholine.html	95			0.25G	1G	
SPC-f061	969	 	2550	 	 	Brc1ccc(C2CSCCN2)cc1		3-(4-bromophenyl)thiomorpholine	1082821-90-6	http://spirochem.com/3-4-bromophenyl-thiomorpholine.html	95			0.25G	1G	
SPC-f062	969	 	2550	 	 	CCOC(=O)C1CSCCN1		ethyl thiomorpholine-3-carboxylate	58729-31-0	http://spirochem.com/ethyl-thiomorpholine-3-carboxylate.html	95			0.25G	1G	
SPC-f063	969	 	2550	 	 	c1cc(C2CSCCN2)cs1		3-(thiophen-3-yl)thiomorpholine	933684-92-5	http://spirochem.com/3-thiophen-3-yl-thiomorpholine.html	95			0.25G	1G	
SPC-f064	969	 	2550	 	 	c1cc(C2CSCCN2)ccn1		3-(pyridin-4-yl)thiomorpholine	1452829-32-1	http://spirochem.com/3-pyridin-4-yl-thiomorpholine.html	95			0.25G	1G	
SPC-f065	969	 	2550	 	 	c1cncc(C2CSCCN2)c1		3-(pyridin-3-yl)thiomorpholine	887344-26-5	http://spirochem.com/3-pyridin-3-yl-thiomorpholine.html	95			0.25G	1G	
SPC-f066	969	 	2550	 	 	CC(C)C1CSCCN1		3-isopropylthiomorpholine	29442-20-4	http://spirochem.com/3-isopropylthiomorpholine.html	95			0.25G	1G	
SPC-f067	969	 	2550	 	 	CC(C)(C)C1CSCCN1		3-(tert-butyl)thiomorpholine	111073-09-7	http://spirochem.com/3-tert-butyl-thiomorpholine.html	95			0.25G	1G	
SPC-f068	969	 	2550	 	 	Cc1ccccc1C1CSCCN1		3-(o-tolyl)thiomorpholine	1342040-71-4	http://spirochem.com/3-o-tolyl-thiomorpholine.html	95			0.25G	1G	
SPC-f069	969	 	2550	 	 	c1ccc2c(C3CSCCN3)ccnc2c1		3-(quinolin-4-yl)thiomorpholine	1452829-34-3	http://spirochem.com/3-quinolin-4-yl-thiomorpholine.html	95			0.25G	1G	
SPC-f070	969	 	2550	 	 	CN(C)c1ccc(C2CSCCN2)cc1		N,N-dimethyl-4-(thiomorpholin-3-yl)aniline	1452829-27-4	http://spirochem.com/n-n-dimethyl-4-thiomorpholin-3-yl-aniline.html	95			0.25G	1G	
SPC-f071	969	 	2550	 	 	COC(=O)c1ccc(C2CSCCN2)cc1		methyl 4-(thiomorpholin-3-yl)benzoate	1452829-28-5	http://spirochem.com/methyl-4-thiomorpholin-3-yl-benzoate.html	95			0.25G	1G	
SPC-f072	969	 	2550	 	 	CC(C)(C)OC(=O)N1CCNC(c2ccccc2)C1		tert-butyl 3-phenylpiperazine-1-carboxylate	502649-25-4	http://spirochem.com/tert-butyl-3-phenylpiperazine-1-carboxylate.html	95			0.25G	1G	
SPC-f073	110	 	248	1237	743	CC(C)(C)OC(N1C[C@@H](c2ccc(C(F)(F)F)cc2)NCC1)=O	MFCD08686043	tert-butyl 3-[4-(trifluoromethyl)phenyl]piperazine-1-carboxylate	886767-93-7	http://spirochem.com/tert-butyl-3-4-trifluoromethyl-phenyl-piperazine-1-carboxylate.html	95	10G		0.25G	1G	5G
SPC-f074	969	 	2550	 	 	CC(C)(C)OC(=O)N1CCNC(c2ccc(F)cc2Cl)C1		tert-butyl 3-(2-chloro-4-fluorophenyl)piperazine-1-carboxylate	1557288-14-8	http://spirochem.com/tert-butyl-3-2-chloro-4-fluorophenyl-piperazine-1-carboxylate.html	95			0.25G	1G	
SPC-f075	969	 	2550	 	 	COc1ccc(C2CN(C(=O)OC(C)(C)C)CCN2)cc1		tert-butyl 3-(4-methoxyphenyl)piperazine-1-carboxylate	886768-17-8	http://spirochem.com/tert-butyl-3-4-methoxyphenyl-piperazine-1-carboxylate.html	95			0.25G	1G	
SPC-f076	969	 	2550	 	 	CC(C)(C)OC(=O)N1CCNC(c2ccc3c(c2)OCO3)C1		tert-butyl 3-(benzo[d][1,3]dioxol-5-yl)piperazine-1-carboxylate	886769-95-5	http://spirochem.com/tert-butyl-3-benzo-d-1-3-dioxol-5-yl-piperazine-1-carboxylate.html	95			0.25G	1G	
SPC-f077	133	 	198	890	594	CCOC([C@H](C1)NCCN1C(OC(C)(C)C)=O)=O		1-tert-butyl 3-ethyl piperazine-1,3-dicarboxylate	183742-29-2	http://spirochem.com/1-tert-butyl-3-ethyl-piperazine-1-3-dicarboxylate.html	95	10G		0.5G	1G	5G
SPC-f078	969	 	2550	 	 	Cn1cc(C2CN(C(=O)OC(C)(C)C)CCN2)cn1		tert-butyl 3-(1-methyl-1H-pyrazol-4-yl)piperazine-1-carboxylate	1461869-12-4	http://spirochem.com/tert-butyl-3-1-methyl-1h-pyrazol-4-yl-piperazine-1-carboxylate.html	95			0.25G	1G	
SPC-f079	969	 	2550	 	 	CC(C)(C)OC(=O)N1CCNC(c2ccoc2)C1		tert-butyl 3-(furan-3-yl)piperazine-1-carboxylate	1557288-23-9	http://spirochem.com/tert-butyl-3-furan-3-yl-piperazine-1-carboxylate.html	95			0.25G	1G	
SPC-f080	969	 	2550	 	 	CC(C)(C)OC(=O)N1CCNC(C2CC2)C1		tert-butyl 3-cyclopropylpiperazine-1-carboxylate	886779-85-7	http://spirochem.com/tert-butyl-3-cyclopropylpiperazine-1-carboxylate.html	95			0.25G	1G	
SPC-f081	969	 	2550	 	 	CC(C)(C)OC(=O)N1CCNC(C(C)(C)C)C1		tert-butyl 3-(tert-butyl)piperazine-1-carboxylate	886779-61-9	http://spirochem.com/tert-butyl-3-tert-butyl-piperazine-1-carboxylate.html	95			0.25G	1G	
SPC-f082	969	 	2550	 	 	CC(C)(C)OC(=O)N1CCNC(c2c[nH]c3ccccc23)C1		tert-butyl 3-(1H-indol-3-yl)piperazine-1-carboxylate	886771-56-8	http://spirochem.com/tert-butyl-3-1h-indol-3-yl-piperazine-1-carboxylate.html	95			0.25G	1G	
SPC-f083	218	 	654	1682	989	C(COC1)N[C@@H]1c1ccccc1	NA	3-phenylmorpholine	138713-44-7	http://spirochem.com/3-phenylmorpholine.html	95	25G		1G	5G	10G
SPC-f084	969	 	2550	 	 	COc1ccc(C2COCCN2)cc1		3-(4-methoxyphenyl)morpholine	1017481-31-0	http://spirochem.com/3-4-methoxyphenyl-morpholine.html	95			0.25G	1G	
SPC-f085	969	 	2550	 	 	CCOC(=O)c1ccc(C2COCCN2)cc1		ethyl 4-(morpholin-3-yl)benzoate	1391044-70-4	http://spirochem.com/ethyl-4-morpholin-3-yl-benzoate.html	95			0.25G	1G	
SPC-f086	969	 	2550	 	 	Brc1cccc(C2COCCN2)c1		3-(3-bromophenyl)morpholine	1260665-00-6	http://spirochem.com/3-3-bromophenyl-morpholine.html	95			0.25G	1G	
SPC-f087	969	 	2550	 	 	CCOC(=O)C1COCCN1		ethyl morpholine-3-carboxylate	84005-98-1	http://spirochem.com/ethyl-morpholine-3-carboxylate.html	95			0.25G	1G	
SPC-f088	969	 	2550	 	 	CC(C)(C)OC(=O)N1CCC(C2COCCN2)CC1		tert-butyl 4-(morpholin-3-yl)piperidine-1-carboxylate	1369138-78-2	http://spirochem.com/tert-butyl-4-morpholin-3-yl-piperidine-1-carboxylate.html	95			0.25G	1G	
SPC-f089	969	 	2550	 	 	c1cc(C2COCCN2)ccn1		3-(pyridin-4-yl)morpholine	143798-67-8	http://spirochem.com/3-pyridin-4-yl-morpholine.html	95			0.25G	1G	
SPC-f090	969	 	2550	 	 	c1ccc2c(C3COCCN3)csc2c1		3-(benzo[b]thiophen-3-yl)morpholine	1270538-13-0	http://spirochem.com/3-benzo-b-thiophen-3-yl-morpholine.html	95			0.25G	1G	
SPC-f091	969	 	2550	 	 	FC(F)(F)C1(c2ccccc2)COCCN1		3-phenyl-3-(trifluoromethyl)morpholine	1639963-96-4	http://spirochem.com/3-phenyl-3-trifluoromethyl-morpholine.html	95			0.25G	1G	
SPC-f092	969	 	2550	 	 	FC(F)(F)C1(c2ccc(Cl)cc2)COCCN1		3-(4-chlorophenyl)-3-(trifluoromethyl)morpholine	1639963-97-5	http://spirochem.com/3-4-chlorophenyl-3-trifluoromethyl-morpholine.html	95			0.25G	1G	
SPC-f093	969	 	2550	 	 	CC(C)(C)OC(=O)N1CCNC(c2ccccc2)(C(F)(F)F)C1		tert-butyl 3-phenyl-3-(trifluoromethyl)piperazine-1-carboxylate	1639963-98-6	http://spirochem.com/tert-butyl-3-phenyl-3-trifluoromethyl-piperazine-1-carboxylate.html	95			0.25G	1G	
SPC-f094	969	 	2550	 	 	CC(C)(C)OC(=O)N1CCNC(c2ccc(Cl)cc2)(C(F)(F)F)C1		tert-butyl 3-(4-chlorophenyl)-3-(trifluoromethyl)piperazine-1-carboxylate	1639963-99-7	http://spirochem.com/tert-butyl-3-4-chlorophenyl-3-trifluoromethyl-piperazine-1-carboxylate.html	95			0.25G	1G	
SPC-f095	969	 	2550	 	 	CC(C)(C)OC(=O)N1CCNC(C)(C(F)(F)F)C1		tert-butyl 3-methyl-3-(trifluoromethyl)piperazine-1-carboxylate	1639964-00-3	http://spirochem.com/tert-butyl-3-methyl-3-trifluoromethyl-piperazine-1-carboxylate.html	95			0.25G	1G	
SPC-f096	969	 	2550	 	 	CCOC(=O)[C@H]1CO[C@H]2Cc3ccccc3[C@H]2N1		ethyl (3R,4aR,9aS)-2,3,4,4a,9,9a-hexahydroindeno[2,1-b][1,4]oxazine-3-carboxylate	1688653-04-4	http://spirochem.com/ethyl-3r-4ar-9as-2-3-4-4a-9-9a-hexahydroindeno-2-1-b-1-4-oxazine-3-carboxylate.html	95			0.25G	1G	
SPC-f100	194	 	337	1989	663	CC(N)C1(O)COC1		3-(1-aminoethyl)oxetan-3-ol	2172587-97-0	http://spirochem.com/3-1-aminoethyl-oxetan-3-ol.html	95	5G		0.1G	0.25G	1G
SPC-f101	449	 	765	4590	1530	CC(C)CC(N)C1(O)COC1		3-(1-amino-3-methylbutyl)oxetan-3-ol	2089676-43-5	http://spirochem.com/3-1-amino-3-methylbutyl-oxetan-3-ol.html	95	5G		0.1G	0.25G	1G
SPC-f102	449	 	765	4590	1530	CC(C)C(N)C1(O)COC1		3-(1-amino-2-methylpropyl)oxetan-3-ol	2091785-49-6	http://spirochem.com/3-1-amino-2-methylpropyl-oxetan-3-ol.html	95	5G		0.1G	0.25G	1G
SPC-f103	449	 	765	4590	1530	NC(Cc1ccccc1)C1(O)COC1		3-(1-amino-2-phenylethyl)oxetan-3-ol	2092717-56-9	http://spirochem.com/3-1-amino-2-phenylethyl-oxetan-3-ol.html	95	5G		0.1G	0.25G	1G
SPC-f104	510	 	867	5202	1734	CC(C)(C)Oc1ccc(CC(N)C2(O)COC2)cc1		3-(1-amino-2-(4-(tert-butoxy)phenyl)ethyl)oxetan-3-ol	2199282-35-2	http://spirochem.com/3-1-amino-2-4-tert-butoxy-phenyl-ethyl-oxetan-3-ol.html	95	5G		0.1G	0.25G	1G
SPC-f105	571	 	969	5814	1938	CC(C)(C)OC(=O)CC(N)C1(O)COC1		tert-butyl 3-amino-3-(3-hydroxyoxetan-3-yl)propanoate	2169510-73-8	http://spirochem.com/tert-butyl-3-amino-3-3-hydroxyoxetan-3-yl-propanoate.html	95	5G		0.1G	0.25G	1G
SPC-f106	571	 	969	5814	1938	CC(C)(C)OC(=O)CCC(N)C1(O)COC1		tert-butyl 4-amino-4-(3-hydroxyoxetan-3-yl)butanoate	2169427-66-9	http://spirochem.com/tert-butyl-4-amino-4-3-hydroxyoxetan-3-yl-butanoate.html	95	5G		0.1G	0.25G	1G
SPC-f107	571	 	969	5814	1938	NC(Cc1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cn1)C1(O)COC1		3-(1-amino-2-(1-trityl-1H-imidazol-4-yl)ethyl)oxetan-3-ol	2200627-32-1	http://spirochem.com/3-1-amino-2-1-trityl-1h-imidazol-4-yl-ethyl-oxetan-3-ol.html	95	5G		0.1G	0.25G	1G
SPC-f108	571	 	969	5814	1938	CC(C)(C)OCC(N)C1(O)COC1		3-(1-amino-2-(tert-butoxy)ethyl)oxetan-3-ol	2168053-37-8	http://spirochem.com/3-1-amino-2-tert-butoxy-ethyl-oxetan-3-ol.html	95	5G		0.1G	0.25G	1G
SPC-f109	571	 	969	5814	1938	CC(C)(C)OC(=O)NCCCCC(N)C1(O)COC1		tert-butyl (5-amino-5-(3-hydroxyoxetan-3-yl)pentyl)carbamate	2198055-63-7	http://spirochem.com/tert-butyl-5-amino-5-3-hydroxyoxetan-3-yl-pentyl-carbamate.html	95	5G		0.1G	0.25G	1G
